#	资源路径配置表		
#	Id		AssetPath
#	int		string
#scene(100开始)	资源编号	策划备注	资源名称
	101	启动场景	Assets/GameMain/Scenes/GameStart/GameStart.unity
#UI(1000开始)			
	1001	主菜单	Assets/GameMain/UI/UIForms/UIMainMenuForm.prefab
#Item(2000			
	2000	测试子弹	Assets/Prefeb/Bullets/Bullet.prefab
	2001	关卡选择按钮	Assets/GameMain/UI/Dynamic/LevelSelectionButton.prefab
	2002	构建炮塔按钮	Assets/GameMain/UI/Dynamic/TowerBuildButton.prefab
#Entity(3000			
	3001	突击加农炮预览	Assets/GameMain/Entity/AssaultCannon/AssaultCannonPreview.prefab
#Sound(10000			
#			
