#	资源路径配置表		
#	Id		AssetPath
#	int		string
#scene(100开始)	资源编号	策划备注	资源名称
	101	启动场景	Assets/GameMain/Scenes/GameStart/GameStart.unity
#UI(1000开始)			
	1001	主菜单	Assets/GameMain/UI/UIForms/UIMainMenuForm.prefab
	1101	测试的事件UI	Assets/GameMain/Prefeb/UIPrefab/EventPointUI/event_battleorlosecoin.prefab
	1102	商店界面	Assets/GameMain/Prefeb/UIPrefab/EventPointUI/event_store.prefab
#Item(2000			
	2000	测试子弹	Assets/GameMain/Prefeb/Bullets/bullet_handle.prefab
	2001	宽匕首	Assets/GameMain/Prefeb/Weapons/Dagger_01.prefab
	2002	单手锤	Assets/GameMain/Prefeb/Weapons/Hammer_01.prefab
	2003	剑	Assets/GameMain/Prefeb/Weapons/Sword_01.prefab
	2004	斧头	Assets/GameMain/Prefeb/Weapons/Ax_01.prefab
#Entity(3000			
	3001	角色test	Assets/GameMain/Prefeb/Charactor/qizi0/KyleRobot.prefab
	3051	敌人test	Assets/GameMain/Prefeb/Charactor/enemy0/enemy0.prefab
#Sfx(3300			
	3301	受击特效	Assets/GameMain/Prefeb/Sfx/CFXR3 Hit Fire B (Air).prefab
#Sprite(4000			
	4000	苹果	Assets/GameMain/Image/Icons/ItemIcon/Apple.png
	4001	斧头	Assets/GameMain/Image/Icons/ItemIcon/FreeFolkAxe.png
	4002	子弹	Assets/GameMain/Image/Icons/ItemIcon/BattleBow.png
	4003	匕首	Assets/GameMain/Image/Icons/ItemIcon/AssassinDagger.png
	4004	护甲板	Assets/GameMain/Image/Icons/ItemIcon/SteelTowerShield.png
	4005	动能引擎	Assets/GameMain/Image/Icons/ItemIcon/SmallPotion.png
	4501	旋转斧头	Assets/GameMain/Image/Icons/ItemIcon/BerserkAxe.png
	4502	反甲	Assets/GameMain/Image/Icons/ItemIcon/DarkMountain.png
	4503	充能护甲	Assets/GameMain/Image/Icons/ItemIcon/GreyKnight.png
#Anim(6000			
	6001	僵尸idle	Assets/GameMain/Prefeb/Charactor/enemy0/Z_Idle.anim
	6002	僵尸run	Assets/GameMain/Prefeb/Charactor/enemy0/Z_Run.anim
	6003	僵尸攻击	Assets/GameMain/Prefeb/Charactor/enemy0/Z_Attack.anim
	6004	僵尸倒地	Assets/GameMain/Prefeb/Charactor/enemy0/Z_FallingBack.anim
	6011	主角idle	Assets/GameMain/Prefeb/Charactor/qizi0/WAIT00.anim
	6012	主角run	Assets/GameMain/Prefeb/Charactor/qizi0/RUN00_F.anim
	6101	挥砍	Assets/GameMain/Prefeb/Charactor/HorizontalSwing.anim
#Sound(10000			
#			
